laporan,label
Api membakar lahan kosong dekat pemukiman.,Prioritas
Gedung retak pasca gempa terjadi di,Prioritas
Tiang listrik patah dan hampir menimpa,Prioritas
Jembatan ambruk terjadi di depan kantor,Prioritas
Selokan tersumbat terjadi dekat sekolah SDN,Reguler
Bau tidak sedap dari selokan depan,Reguler
Graffiti di tembok terjadi di gang,Reguler
Tiang listrik patah dan hampir menimpa,Prioritas
Lampu jalan mati di beberapa titik.,Reguler
Tiang listrik patah dan hampir menimpa,Prioritas
Tanah longsor terjadi di pinggir sungai.,Prioritas
Air keruh dari PDAM terjadi di,Reguler
Tanah longsor terjadi dekat masjid besar.,Prioritas
Gas bocor terjadi dekat masjid besar.,Prioritas
Air keruh dari PDAM terjadi dekat,Reguler
Tanah longsor terjadi dekat terminal. Mohon,Prioritas
Jalan utama rusak berat terjadi di,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman,Prioritas
Ledakan kecil terjadi dekat sekolah SDN,Prioritas
Sampah menumpuk terjadi di gang sempit.,Reguler
Suara bising malam hari terjadi dekat,Reguler
Gas bocor terjadi dekat sekolah SDN,Prioritas
Air keruh dari PDAM terjadi di,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Gas bocor terjadi di desa Cibadak.,Prioritas
Suara bising malam hari terjadi di,Reguler
Gedung retak pasca gempa terjadi di,Prioritas
Ledakan kecil terjadi di perumahan Griya,Prioritas
Parkir liar di depan rumah terjadi,Reguler
Banjir parah terjadi di gang sempit.,Prioritas
Graffiti di tembok terjadi di gang,Reguler
Jalan utama rusak berat terjadi di,Prioritas
Ledakan kecil terjadi di depan kantor,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Papan nama jalan sudah tidak terbaca.,Reguler
Kucing liar mengganggu terjadi di gang,Reguler
Jalan utama rusak berat terjadi di,Prioritas
Pohon tumbang terjadi di pasar tradisional.,Prioritas
Suara bising malam hari terjadi di,Reguler
Gedung retak pasca gempa terjadi di,Prioritas
Pohon tumbang terjadi di gang sempit.,Prioritas
Tiang listrik patah dan hampir menimpa,Prioritas
Lampu jalan mati terjadi di perumahan,Reguler
Air keruh dari PDAM terjadi di,Reguler
Air keruh dari PDAM terjadi di,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Tanah longsor terjadi di depan kantor,Prioritas
Jalan berlubang kecil terjadi di pinggir,Reguler
Jalan berlubang kecil terjadi di pinggir,Reguler
Api membakar lahan kosong dekat pemukiman.,Prioritas
Jembatan ambruk terjadi di jalan utama,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Rumput liar tumbuh di trotoar.,Reguler
Kebakaran hutan terjadi dekat masjid besar.,Prioritas
Jalan berlubang kecil terjadi dekat masjid,Reguler
Gedung retak pasca gempa terjadi di,Prioritas
Gedung retak pasca gempa terjadi di,Prioritas
Pohon tumbang terjadi di perumahan Griya,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Suara bising malam hari terjadi dekat,Reguler
Selokan tersumbat terjadi di pinggir sungai.,Reguler
Graffiti di tembok terjadi di jalan,Reguler
Jalan utama rusak berat terjadi di,Prioritas
Jalan utama rusak berat terjadi di,Prioritas
Saluran air tersumbat oleh daun kering.,Reguler
Lampu jalan mati terjadi di pinggir,Reguler
Kebakaran hutan mulai mendekati permukiman warga,Prioritas
Jembatan ambruk terjadi dekat terminal. Mohon,Prioritas
Banjir parah terjadi di pasar tradisional.,Prioritas
Selokan tersumbat terjadi di pasar tradisional.,Reguler
Papan reklame besar di persimpangan jalan,Prioritas
Tebing rawan longsor sangat dekat dengan,Prioritas
Rumput taman tidak dipotong terjadi di,Reguler
Jembatan ambruk terjadi dekat sekolah SDN,Prioritas
Air keruh dari PDAM terjadi di,Reguler
Sampah berserakan di jalan dekat pasar.,Reguler
Ledakan kecil terjadi di jalan utama,Prioritas
Air keruh dari PDAM terjadi di,Reguler
Saluran air tersumbat oleh daun kering.,Reguler
Jalan berlubang kecil terjadi di depan,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Pohon tumbang terjadi di depan kantor,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Kebakaran hutan terjadi di pinggir sungai.,Prioritas
Ledakan kecil terjadi dekat sekolah SDN,Prioritas
Sampah menumpuk terjadi di pasar tradisional.,Reguler
Selokan tersumbat terjadi di gang sempit.,Reguler
Jalan utama rusak berat terjadi di,Prioritas
Banjir parah terjadi dekat sekolah SDN,Prioritas
Gedung retak pasca gempa terjadi di,Prioritas
Papan nama jalan sudah tidak terbaca.,Reguler
Parkir liar di depan rumah terjadi,Reguler
Kabel listrik terbuka terjadi dekat masjid,Prioritas
Tanah longsor terjadi di perumahan Griya,Prioritas
Pohon tumbang terjadi dekat sekolah SDN,Prioritas
Gedung retak pasca gempa terjadi dekat,Prioritas
Papan billboard raksasa di tepi jalan,Prioritas
Tebing rawan longsor sangat dekat dengan,Prioritas
Kucing liar mengganggu terjadi di depan,Reguler
Ledakan kecil terjadi dekat masjid besar.,Prioritas
Banjir setinggi 1 meter menggenangi pemukiman,Prioritas
Jembatan ambruk terjadi di pasar tradisional.,Prioritas
Lampu jalan mati di beberapa titik.,Reguler
Tanggul sungai retak sepanjang 10 meter,Prioritas
Rumput liar tumbuh di trotoar.,Reguler
Jalan utama rusak berat terjadi dekat,Prioritas
Lampu jalan mati terjadi di desa,Reguler
Kabel listrik terbuka terjadi di desa,Prioritas
Kucing liar mengganggu terjadi dekat masjid,Reguler
Kucing liar mengganggu terjadi di gang,Reguler
Sampah menumpuk terjadi dekat terminal. Mohon,Reguler
Parkir liar di depan rumah terjadi,Reguler
Kebakaran hutan terjadi di depan kantor,Prioritas
Tiang listrik patah dan hampir menimpa,Prioritas
Jembatan ambruk terjadi di depan kantor,Prioritas
Sampah berserakan di jalan dekat pasar.,Reguler
Suara bising malam hari terjadi di,Reguler
Jalan berlubang kecil terjadi di depan,Reguler
Jembatan ambruk terjadi di gang sempit.,Prioritas
Parkir liar di depan rumah terjadi,Reguler
Tanah longsor terjadi di jalan utama,Prioritas
Sampah menumpuk terjadi di depan kantor,Reguler
Lampu jalan mati terjadi di pinggir,Reguler
Gas bocor terjadi di gang sempit.,Prioritas
Sampah menumpuk terjadi di depan kantor,Reguler
Lampu jalan mati di beberapa titik.,Reguler
Graffiti di tembok terjadi di desa,Reguler
Air keruh dari PDAM terjadi dekat,Reguler
Sampah menumpuk terjadi dekat terminal. Mohon,Reguler
Rumput taman tidak dipotong terjadi di,Reguler
Rumput taman tidak dipotong terjadi dekat,Reguler
