laporan,label
api membakar lahan kosong dekat pemukiman,Prioritas
gedung retak pasca gempa terjadi di perumahan griya asri mohon segera ditindaklanjuti,Prioritas
tiang listrik patah dan hampir menimpa rumah warga,Prioritas
jembatan ambruk terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Prioritas
selokan tersumbat terjadi dekat sekolah sdn 2 mohon segera ditindaklanjuti,Reguler
bau tidak sedap dari selokan depan rumah makan,Reguler
graffiti di tembok terjadi di gang sempit mohon segera ditindaklanjuti,Reguler
tiang listrik patah dan hampir menimpa rumah warga,Prioritas
lampu jalan mati di beberapa titik,Reguler
tiang listrik patah dan hampir menimpa rumah warga,Prioritas
tanah longsor terjadi di pinggir sungai mohon segera ditindaklanjuti,Prioritas
air keruh dari pdam terjadi di pinggir sungai mohon segera ditindaklanjuti,Reguler
tanah longsor terjadi dekat masjid besar mohon segera ditindaklanjuti,Prioritas
gas bocor terjadi dekat masjid besar mohon segera ditindaklanjuti,Prioritas
air keruh dari pdam terjadi dekat sekolah sdn 2 mohon segera ditindaklanjuti,Reguler
tanah longsor terjadi dekat terminal mohon segera ditindaklanjuti,Prioritas
jalan utama rusak berat terjadi di pasar tradisional mohon segera ditindaklanjuti,Prioritas
sampah berserakan di jalan dekat pasar,Reguler
api membakar lahan kosong dekat pemukiman,Prioritas
banjir setinggi 1 meter menggenangi pemukiman warga,Prioritas
ledakan kecil terjadi dekat sekolah sdn 2 mohon segera ditindaklanjuti,Prioritas
sampah menumpuk terjadi di gang sempit mohon segera ditindaklanjuti,Reguler
suara bising malam hari terjadi dekat masjid besar mohon segera ditindaklanjuti,Reguler
gas bocor terjadi dekat sekolah sdn 2 mohon segera ditindaklanjuti,Prioritas
air keruh dari pdam terjadi di perumahan griya asri mohon segera ditindaklanjuti,Reguler
papan nama jalan sudah tidak terbaca,Reguler
gas bocor terjadi di desa cibadak mohon segera ditindaklanjuti,Prioritas
suara bising malam hari terjadi di jalan utama katapang mohon segera ditindaklanjuti,Reguler
gedung retak pasca gempa terjadi di pasar tradisional mohon segera ditindaklanjuti,Prioritas
ledakan kecil terjadi di perumahan griya asri mohon segera ditindaklanjuti,Prioritas
parkir liar di depan rumah terjadi di desa cibadak mohon segera ditindaklanjuti,Reguler
banjir parah terjadi di gang sempit mohon segera ditindaklanjuti,Prioritas
graffiti di tembok terjadi di gang sempit mohon segera ditindaklanjuti,Reguler
jalan utama rusak berat terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Prioritas
ledakan kecil terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Prioritas
saluran air tersumbat oleh daun kering,Reguler
papan nama jalan sudah tidak terbaca,Reguler
kucing liar mengganggu terjadi di gang sempit mohon segera ditindaklanjuti,Reguler
jalan utama rusak berat terjadi di desa cibadak mohon segera ditindaklanjuti,Prioritas
pohon tumbang terjadi di pasar tradisional mohon segera ditindaklanjuti,Prioritas
suara bising malam hari terjadi di perumahan griya asri mohon segera ditindaklanjuti,Reguler
gedung retak pasca gempa terjadi di pasar tradisional mohon segera ditindaklanjuti,Prioritas
pohon tumbang terjadi di gang sempit mohon segera ditindaklanjuti,Prioritas
tiang listrik patah dan hampir menimpa rumah warga,Prioritas
lampu jalan mati terjadi di perumahan griya asri mohon segera ditindaklanjuti,Reguler
air keruh dari pdam terjadi di pasar tradisional mohon segera ditindaklanjuti,Reguler
air keruh dari pdam terjadi di pinggir sungai mohon segera ditindaklanjuti,Reguler
api membakar lahan kosong dekat pemukiman,Prioritas
saluran air tersumbat oleh daun kering,Reguler
tanah longsor terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Prioritas
jalan berlubang kecil terjadi di pinggir sungai mohon segera ditindaklanjuti,Reguler
jalan berlubang kecil terjadi di pinggir sungai mohon segera ditindaklanjuti,Reguler
api membakar lahan kosong dekat pemukiman,Prioritas
jembatan ambruk terjadi di jalan utama katapang mohon segera ditindaklanjuti,Prioritas
rumput liar tumbuh di trotoar,Reguler
rumput liar tumbuh di trotoar,Reguler
kebakaran hutan terjadi dekat masjid besar mohon segera ditindaklanjuti,Prioritas
jalan berlubang kecil terjadi dekat masjid besar mohon segera ditindaklanjuti,Reguler
gedung retak pasca gempa terjadi di jalan utama katapang mohon segera ditindaklanjuti,Prioritas
gedung retak pasca gempa terjadi di jalan utama katapang mohon segera ditindaklanjuti,Prioritas
pohon tumbang terjadi di perumahan griya asri mohon segera ditindaklanjuti,Prioritas
sampah berserakan di jalan dekat pasar,Reguler
suara bising malam hari terjadi dekat masjid besar mohon segera ditindaklanjuti,Reguler
selokan tersumbat terjadi di pinggir sungai mohon segera ditindaklanjuti,Reguler
graffiti di tembok terjadi di jalan utama katapang mohon segera ditindaklanjuti,Reguler
jalan utama rusak berat terjadi di jalan utama katapang mohon segera ditindaklanjuti,Prioritas
jalan utama rusak berat terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Prioritas
saluran air tersumbat oleh daun kering,Reguler
lampu jalan mati terjadi di pinggir sungai mohon segera ditindaklanjuti,Reguler
kebakaran hutan mulai mendekati permukiman warga,Prioritas
jembatan ambruk terjadi dekat terminal mohon segera ditindaklanjuti,Prioritas
banjir parah terjadi di pasar tradisional mohon segera ditindaklanjuti,Prioritas
selokan tersumbat terjadi di pasar tradisional mohon segera ditindaklanjuti,Reguler
papan reklame besar di persimpangan jalan terpasang tidak sempurna dan goyang,Prioritas
tebing rawan longsor sangat dekat dengan sekolah dasar,Prioritas
rumput taman tidak dipotong terjadi di pasar tradisional mohon segera ditindaklanjuti,Reguler
jembatan ambruk terjadi dekat sekolah sdn 2 mohon segera ditindaklanjuti,Prioritas
air keruh dari pdam terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Reguler
sampah berserakan di jalan dekat pasar,Reguler
ledakan kecil terjadi di jalan utama katapang mohon segera ditindaklanjuti,Prioritas
air keruh dari pdam terjadi di desa cibadak mohon segera ditindaklanjuti,Reguler
saluran air tersumbat oleh daun kering,Reguler
jalan berlubang kecil terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Reguler
lampu jalan mati di beberapa titik,Reguler
pohon tumbang terjadi di depan kantor kecamatan mohon segera ditindaklanjuti,Prioritas
rumput liar tumbuh di trotoar,Reguler
kebakaran hutan terjadi di pinggir sungai mohon segera ditindaklanjuti,Prioritas
ledakan kecil terjadi dekat sekolah sdn 2 mohon segera ditindaklanjuti,Prioritas
sampah menumpuk terjadi di pasar tradisional mohon segera ditindaklanjuti,Reguler
selokan tersumbat terjadi di gang sempit mohon segera ditindaklanjuti,Reguler
jalan utama rusak berat terjadi di pasar tradisional mohon segera ditindaklanjuti,Prioritas
banjir parah terjadi dekat sekolah sdn 2 mohon segera ditindaklanjuti,Prioritas
gedung retak pasca gempa terjadi di perumahan griya asri mohon segera ditindaklanjuti,Prioritas
papan nama jalan sudah tidak terbaca,Reguler
parkir liar di depan rumah terjadi di desa cibadak mohon segera ditindaklanjuti,Reguler
