laporan,label
Jalan desa rusak parah,Prioritas
Jembatan kecil ambruk,Prioritas
Tiang listrik roboh,Prioritas
Sumur warga kering,Prioritas
Kebakaran lahan kosong,Prioritas
Banjir bandang melanda,Prioritas
Longsor menutupi jalan,Prioritas
Pipa air pecah,Prioritas
Gas bocor di rumah warga,Prioritas
Kabel listrik putus,Prioritas
Wabah penyakit menyebar,Prioritas
Hewan ternak mati mendadak,Prioritas
Bangunan sekolah retak,Prioritas
Jembatan gantung putus,Prioritas
Pohon besar tumbang,Prioritas
Sampah menumpuk di sungai,Prioritas
Saluran irigasi tersumbat,Prioritas
Jalan licin akibat lumpur,Prioritas
Tebing rawan longsor,Prioritas
Pencemaran air sumur,Prioritas
Jalan setapak rusak,Reguler
Lampu penerangan jalan mati,Reguler
Sampah berserakan di jalan,Reguler
Selokan tersumbat,Reguler
Rumput liar tumbuh tinggi,Reguler
Papan nama desa rusak,Reguler
Pos ronda butuh perbaikan,Reguler
Cat tembok balai desa mengelupas,Reguler
Kursi taman rusak,Reguler
Pagar pembatas rusak,Reguler
Air keruh dari PDAM,Reguler
Kucing liar berkeliaran,Reguler
Suara bising malam hari,Reguler
Parkir liar di depan rumah,Reguler
Graffiti di tembok,Reguler
Pohon perlu pemangkasan,Reguler
Jalan berlubang kecil,Reguler
Genangan air di jalan,Reguler
Papan iklan rusak,Reguler
Tempat sampah penuh,Reguler
Jalan utama desa retak,Prioritas
Jembatan penyeberangan rusak,Prioritas
Tiang telepon miring,Prioritas
Kekeringan melanda sawah,Prioritas
Kebakaran rumah warga,Prioritas
Banjir rob menggenangi pesisir,Prioritas
Tanah longsor kecil,Prioritas
Pipa PDAM bocor,Prioritas
Bau gas menyengat,Prioritas
Kabel telepon menjuntai,Prioritas
Penyakit demam berdarah,Prioritas
Ternak hilang dicuri,Prioritas
Dinding posyandu retak,Prioritas
Jembatan kayu lapuk,Prioritas
Pohon tumbang menimpa rumah,Prioritas
Sampah medis berserakan,Prioritas
Saluran pembuangan mampet,Prioritas
Jalan becek dan berlumpur,Prioritas
Tebing sungai terkikis,Prioritas
Air sumur tercemar limbah,Prioritas
Jalan setapak licin,Reguler
Lampu jalan berkedip,Reguler
Sampah plastik di parit,Reguler
Selokan bau tak sedap,Reguler
Semak belukar tumbuh lebat,Reguler
Papan informasi desa buram,Reguler
Pos kamling kotor,Reguler
Cat pagar balai desa pudar,Reguler
Ayunan taman rusak,Reguler
Pagar kebun roboh,Reguler
Air PDAM berbau,Reguler
Anjing liar berkeliaran,Reguler
Suara musik keras,Reguler
Motor parkir sembarangan,Reguler
Coretan di dinding,Reguler
Dahan pohon kering,Reguler
Jalan bergelombang,Reguler
Genangan air hujan,Reguler
Spanduk robek,Reguler
Tempat sampah bocor,Reguler
Jalan penghubung desa ambles,Prioritas
Jembatan beton retak,Prioritas
Tiang listrik berkarat,Prioritas
Sawah kekeringan parah,Prioritas
Kebakaran hutan kecil,Prioritas
Banjir bandang merusak,Prioritas
Longsor besar menutup jalan,Prioritas
Pipa air bersih pecah,Prioritas
Gas elpiji bocor,Prioritas
Kabel listrik terkelupas,Prioritas
Penyakit kulit menyebar,Prioritas
Unggas mati mendadak,Prioritas
Atap balai desa bocor,Prioritas
Jembatan bambu rapuh,Prioritas
Pohon tumbang menghalangi,Prioritas
Limbah pabrik di sungai,Prioritas
Saluran drainase tersumbat,Prioritas
Jalan rusak parah,Prioritas
Tebing curam longsor,Prioritas
Air sungai tercemar,Prioritas
Jalan setapak becek,Reguler
Lampu taman mati,Reguler
Sampah organik menumpuk,Reguler
Selokan penuh lumpur,Reguler
Rumput di lapangan tinggi,Reguler
Papan pengumuman rusak,Reguler
Pos keamanan kosong,Reguler
Cat dinding posyandu kusam,Reguler
Perosotan taman rusak,Reguler
Pagar sekolah roboh,Reguler
Air PDAM keruh,Reguler
Kucing liar mengganggu,Reguler
Suara knalpot bising,Reguler
Mobil parkir di bahu jalan,Reguler
Vandalisme di fasilitas umum,Reguler
Pohon rindang perlu pangkas,Reguler
Jalan berlubang besar,Reguler
Genangan air di persimpangan,Reguler
Baliho jatuh,Reguler
Tempat sampah kurang,Reguler
Jalan desa tergenang,Prioritas
Jembatan darurat rusak,Prioritas
Tiang listrik doyong,Prioritas
Kekeringan sumur bor,Prioritas
Kebakaran semak belukar,Prioritas
Banjir lokal menggenang,Prioritas
Longsor kecil di kebun,Prioritas
Pipa air minum pecah,Prioritas
Bau busuk dari selokan,Prioritas
Kabel listrik putus di tiang,Prioritas
Penyakit diare mewabah,Prioritas
Ternak sakit menular,Prioritas
Dinding kantor desa retak,Prioritas
Jembatan penyeberangan putus,Prioritas
Pohon tumbang menutupi,Prioritas
Sampah rumah tangga di sungai,Prioritas
Saluran air kotor mampet,Prioritas
Jalan rusak berat,Prioritas
Tebing sungai longsor,Prioritas
Air danau tercemar,Prioritas
Jalan setapak berlumpur,Reguler
Lampu jalan redup,Reguler
Sampah daun menumpuk,Reguler
Selokan dangkal,Reguler
Semak belukar di pinggir jalan,Reguler
Papan arah rusak,Reguler
Pos jaga tidak terawat,Reguler
Cat tiang bendera pudar,Reguler
Jungkat-jungkit rusak,Reguler
Pagar rumah warga roboh,Reguler
Air PDAM berlumut,Reguler
Anjing liar mengganggu,Reguler
Suara mesin keras,Reguler
Sepeda motor parkir di trotoar,Reguler
Coretan di jembatan,Reguler
Dahan pohon patah,Reguler
Jalan berkerikil,Reguler
Genangan air di jalan setapak,Reguler
Poster lepas,Reguler
Tempat sampah tidak ada,Reguler
Jalan desa ambles,Prioritas
Jembatan utama retak,Prioritas
Tiang listrik roboh menimpa,Prioritas
Kekeringan lahan pertanian,Prioritas
Kebakaran pasar tradisional,Prioritas
Banjir bandang merendam,Prioritas
Longsor menimbun rumah,Prioritas
Pipa air bersih bocor,Prioritas
Gas beracun tercium,Prioritas
Kabel listrik putus di jalan,Prioritas
Penyakit pernapasan meningkat,Prioritas
Unggas mati massal,Prioritas
Atap puskesmas bocor,Prioritas
Jembatan gantung rusak parah,Prioritas
Pohon tumbang menimpa kabel,Prioritas
Limbah rumah tangga di parit,Prioritas
Saluran irigasi jebol,Prioritas
Jalan berlubang dalam,Prioritas
Tebing bukit longsor,Prioritas
Air sumur berbau,Prioritas
Jalan setapak licin berlumpur,Reguler
Lampu jalan mati total,Reguler
Sampah botol plastik,Reguler
Selokan tersumbat sampah,Reguler
Rumput di taman tinggi,Reguler
Papan nama jalan hilang,Reguler
Pos ronda tidak berfungsi,Reguler
Cat dinding sekolah kusam,Reguler
Bangku taman patah,Reguler
Pagar masjid roboh,Reguler
Air PDAM berpasir,Reguler
Kucing liar banyak,Reguler
Suara bising konstruksi,Reguler
Becak parkir sembarangan,Reguler
Coretan di halte,Reguler
Pohon kering kerontang,Reguler
Jalan berlubang kecil di desa,Reguler
Genangan air di depan rumah,Reguler
Spanduk kampanye robek,Reguler
Tempat sampah rusak,Reguler
Jalan desa terputus,Prioritas
Jembatan penghubung putus,Prioritas
Tiang listrik patah,Prioritas
Kekeringan sumber air,Prioritas
