laporan,label
Jembatan ambruk sesuatu sesuatu depan kantor kecamatan. Mohon sesuatu sesuatu,Prioritas
Pohon tumbang sesuatu sesuatu masjid besar. Mohon sesuatu sesuatu,Prioritas
Jalan sesuatu rusak berat sesuatu sesuatu sesuatu Cibadak. Mohon sesuatu sesuatu,Prioritas
Jembatan penghubung sesuatu terancam ambruk.,Prioritas
Tanah sesuatu sesuatu sesuatu gang sempit. Mohon sesuatu sesuatu,Prioritas
Kabel sesuatu terbuka sesuatu sesuatu jalan sesuatu Katapang. Mohon sesuatu sesuatu,Prioritas
Gedung retak pasca gempa sesuatu sesuatu perumahan Griya Asri. Mohon sesuatu sesuatu,Prioritas
Banjir parah sesuatu sesuatu masjid besar. Mohon sesuatu sesuatu,Prioritas
Jembatan penghubung sesuatu terancam ambruk.,Prioritas
Kebakaran hutan sesuatu sesuatu sesuatu SDN 2. Mohon sesuatu sesuatu,Prioritas
Graffiti sesuatu tembok sesuatu sesuatu gang sempit. Mohon sesuatu sesuatu,Reguler
Sampah berserakan sesuatu sesuatu sesuatu pasar.,Reguler
Sampah berserakan sesuatu sesuatu sesuatu pasar.,Reguler
Saluran air sesuatu oleh daun kering.,Reguler
Lampu sesuatu sesuatu sesuatu sesuatu sesuatu utama Katapang. Mohon sesuatu sesuatu,Reguler
Papan nama sesuatu sudah sesuatu terbaca.,Reguler
Papan nama sesuatu sesuatu RT 05 terlihat kusam dan sulit dibaca,Reguler
Graffiti sesuatu tembok sesuatu sesuatu pasar tradisional. Mohon sesuatu sesuatu,Reguler
Kucing sesuatu mengganggu sesuatu sesuatu gang sempit. Mohon sesuatu sesuatu,Reguler
Plang nama sesuatu sesuatu gang sempit miring 15 derajat,Reguler
